,Title-Code,Title Name,Hindi Title,Register Serial No,Regn No.,Owner Name,State,Publication City/District,Periodity
777,DELENG02669,INDIA LOOKING AHEAD,,53342.0,53342/ 91,MODERN MEDIA,DEL,DELHI,M
778,DELHIN09011,POLITICS INDIA,,69315.0,69315/ 98,VIMOT PUBLISHERS PVT LTD,DEL,DELHI,M
779,DELENG07041,INDIAN JOURNAL OF TECHNOLOGY,,7091.0,7091/ 63,"COUNCIL OF SCIENTIFIC AND INDUSTRIAL RESEARCH, NEW DELHI",DEL,DELHI,M
780,DELHIN16513,ANANT INDIA NEWS POWER,,111722.0,DELHIN/2011/39165,ASHUTOSH MISHRA,DEL,DELHI,M
781,DELHIN15156,INDIA PARIWAR,इंडिया परिवार,97995.0,DELHIN/2008/25438,MD. RASIKH REYAZ,DEL,DELHI,M
782,DELENG14373,INDIA EMPIRE,इण्‍डि‍या इमपायर,89250.0,DELENG/2005/16693,SAYANTAN CHAKRAVARTY,DEL,DELHI,M
783,DELBIL03341,INDIAN SEED TODAY,,66351.0,66351/ 97,ISHWAR CHANDER PAHUJA,DEL,DELHI,M
784,DELHIN14027,WAY OF INDIA,वे आँफ इंडिया,89881.0,DELHIN/2006/17324,CHANDRA BHAN SINGH,DEL,DELHI,M
785,DELHIN07436,LOVERS OF INDIA,,69708.0,69708/ 98,AKHIL BHARTIYA SWATANTAR PATARKAR AVM LEKHAK SANGH,DEL,DELHI,M
786,DELENG11694,VAR INDIA,,72399.0,72399/ 99,M/S KALINGA DIGITAL MEDIA PVT LTD,DEL,DELHI,M
787,DELENG07050,INDIAN POSTMAN,इंडियन पोस्टमैन,10528.0,10528/ 64,ALL INDIA POSTAL EMPLOYEES UNION POSTMAN,DEL,DELHI,M
788,DELHIN11757,INDIAN GALAXY,,81594.0,DELHIN/2002/09037,SANJEEV GAUTAM,DEL,DELHI,M
789,DELHIN28780,READY INDIA,रेडी इंडिया,147674.0,DELHIN/2017/75119,MANGAL SINGH SISODIYA,DEL,DELHI,M
790,DELENG15181,ALL INDIA CRIME PREVENTION ORGANIZATION,आँल इंडिया क्र,89617.0,DELENG/2006/17060,SUBHASH CHANDRA,DEL,DELHI,M
791,DELENG18070,CEO INDIA,,115488.0,DELENG/2012/42931,IMAGINE MEDIA & LIFESTYLE PRIVATE LIMITED,DEL,DELHI,M
792,DELHIN27273,THE INDIAN ERA,,118366.0,DELHIN/2012/45809,SACHITA NAND MISHRA,DEL,DELHI,M
793,DELBIL11366,VEGETARIAN INDIA,,4755.0,4755/ 59,AMRIT LAL JIDAL,DEL,DELHI,M
794,DELENG08968,INDIAN DESIGN & INTERIORS,,59359.0,59359/ 94,MEDIA TRANS ASIA INDIA LTD,DEL,DELHI,M
795,DELENG17318,OPPRESSED INDIAN,,34502.0,34502/ 79,KANSHI RAM,DEL,DELHI,M
796,DELENG02423,HIND BOOK INDIA,,28925.0,28925/ 77,HINDI POCKET BOOKS P LTD,DEL,DELHI,M
797,DELENG16030,ALL INDIA C. P. W. D. ENGINEERS TIMES,,95425.0,DELENG/2007/22868,SHANTI SWAROOP JAISWAL,DEL,DELHI,M
798,DELENG12019,POST GRADUATE MEDICINE(INDIAN EDITION),पोस्ट ग्रेजुएट मेडिसिन (इंडियन एडिशन),78843.0,DELENG/2002/06286,M/S IJCP PUBLICATION (P) LTD.,DEL,DELHI,M
799,DELENG13308,INVESTORS INDIA,,81100.0,DELENG/2002/08543,BAJAJ CAPITAL LTD.,DEL,DELHI,M
800,DELBIL07203,ALL INDIA ANTI CORRUPTION PRESS,आल इंडिया एंटी करप्शन प्रेस,100232.0,DELBIL/2009/27675,T.P.S. GRROVER,DEL,DELHI,M
801,DELHIN16050,DIALOGUE INDIA,डायलाग इंडिया,102646.0,DELHIN/2009/30089,ANUJ KUMAR AGRAWAL,DEL,DELHI,M
802,DELBIL07491,SALT & SPICES INDIA,साल्ट एंड स्पाइसेज इंडिया,108407.0,DELBIL/2010/35850,SATISH ARORA,DEL,DELHI,M
803,DELHIN27058,INDIA AAP TAK,,114589.0,DELHIN/2012/42032,SHAGUFTA YASMEEN,DEL,DELHI,M
804,DELBIL00862,INDIAN CUSTOMS & EXCISE,,47200.0,47200/ 86,"DEPTT OF PUBLICATION, CUSTOM & CENTAL EXCISE",DEL,DELHI,M
805,DELHIN01873,INDIAN TRADERS TIMES,,47280.0,47280/ 87,KAFEEL AHAMAED ANSARI,DEL,DELHI,M
806,DELHIN05308,PARIVARTAN NEWS INDIA,,55515.0,55515/ 91,NARENDRA VERMA,DEL,DELHI,M
807,DELHIN12512,SAMPARK INDIA,,88417.0,DELHIN/2005/15860,KULDEEP KUMAR,DEL,DELHI,M
808,DELHIN14374,ASTRO INDIA,एस्‍ट्रो इंडि‍या,93120.0,DELHIN/2007/20563,ATULYA NATH,DEL,DELHI,M
809,DELENG11200,INDIAN SOCIETY FOR TECHNICAL EDUCATION NEWS LETTER,,36975.0,36975/ 81,"SECRETARY, INDIAN SOCIETY FOR TECHNICAL EDUCATION.",DEL,DELHI,M
810,DELENG11199,INDIAN PRESS,,25696.0,25696/ 74,INDIA & EASTERN NEWSPAPERS SOCIETY,DEL,DELHI,M
811,DELBIL04004,INDIAN PANORAMA KALPATARU,,49194.0,49194/ 89,NOT GIVEN,DEL,DELHI,M
812,DELENG02769,INDIA AND THE GLOBE,,49218.0,49218/ 89,JASWANT SINGH VIRK,DEL,DELHI,M
813,DELENG07035,INDIA CALLING WESTERN,इंडिया कालिंग वेस्टर्न,833.0,833/ 57,"ALL INDIA RADIO,",DEL,DELHI,M
814,DELENG11096,CURRENT SALES TAX ACTS IN THE STATES OF INDIA,करेंट सेल्स टैक्स एक्ट्स इन द स्टेट्स ऑफ़ इंडिया,910.0,910/ 57,KULWANT RAI JAIN & OTHERS,DEL,DELHI,M
815,DELENG07049,INDIAN MEDICAL PRACTITIONER,इंडियन मेडिकल प्रैक्टिशनर,979.0,979/ 57,RAM KRISHAN BHARDWAJ,DEL,DELHI,M
816,DELURD00116,MUSLIM INDIA,,42811.0,42811/ 84,SYED SHAHBUDDIN,DEL,DELHI,M
817,DELENG08954,TELEMATICS INDIA NEWSLETTER,,57340.0,57340/ 94,VIMAT PUBLISHERS PVT. LTD,DEL,DELHI,M
818,DELENG14567,INDIAN JOURNAL OF FERTILISERS,,87370.0,DELENG/2005/14813,THE FERTILISER ASSOCIATION OF INDIA,DEL,DELHI,M
819,DELHIN11566,INDIAN JUNG,,79829.0,DELHIN/2001/07272,ALOK MOHAN,DEL,DELHI,M
820,DELENG17588,BUS COACH INDIA,बस कोच इंडिया,106662.0,DELENG/2010/34105,BALDEV SINGH BAL,DEL,DELHI,M
821,DELENG11181,INDIAN BUSINESS REVIEW,,16278.0,16278/ 68,SHRI M. RAM,DEL,DELHI,M
822,DELENG05989,TRACTOR INDIA,,21680.0,21680/ 70,GYAN PRAKASH,DEL,DELHI,M
823,DELBIL05995,LIVING INDIA,,87965.0,DELBIL/2005/15408,VINTAGE STUDIO PRIVATE LIMITED,DEL,DELHI,M
824,DELBIL11637,INDIA GALLUP,,151077.0,DELBIL/2019/78522,PRANAV GOSWAMI,DEL,DELHI,M
